report_id,vehicle_type,vehicle_movement,plate_state,created_at_local,created_at_epoch,address,latitude,longitude
21645,Other,standing,PA,2019-10-16T08:18:48,1571228328000,"4609 Forbes Ave, Pittsburgh, PA 15213",40.44459444444444,-79.94809722222223
21734,Private,standing,PA,2019-10-16T17:15:58,1571260558000,"305 Wood St, Pittsburgh, PA 15222",40.4389424,-80.0016382
21640,Other,parked,PA,2019-10-16T08:02:54,1571227374000,"4615 Forbes Ave, Pittsburgh, PA 15213",40.44456944444444,-79.94785277777778
21641,Other,standing,US,2019-10-16T12:16:42,1571242602000,"30 Foster Sq, Pittsburgh, PA 15212",40.4511631,-80.0073019
21608,Private,Loading,PA,2019-10-16T08:16:14,1571228174000,"6 PPG Pl, Pittsburgh, PA 15222",40.4397019,-80.0036409
21615,Private,Loading,PA,2019-10-16T08:36:16,1571229376000,"6 PPG Pl, Pittsburgh, PA 15222",40.4397274,-80.0037806
21586,Private,standing,PA,2019-10-16T07:13:01,1571224381000,"230 3rd Ave, Pittsburgh, PA 15222",40.4392403,-80.0024249
21588,Private,Loading,GA,2019-10-16T07:18:39,1571224719000,"230 3rd Ave, Pittsburgh, PA 15222",40.43933227777777,-80.00291619444444
21590,Private,parked,IN,2019-10-16T07:27:16,1571225236000,"4212 Forbes Ave, Pittsburgh, PA 15213",40.44330977777778,-79.95225522222222
21592,Other,Loading,PA,2019-10-16T07:30:13,1571225413184,"4515 Forbes Ave, Pittsburgh, PA 15213",40.44431970458519,-79.9492666126042
21594,Private,Loading,PA,2019-10-16T07:35:37,1571225737000,"6 PPG Pl, Pittsburgh, PA 15222",40.4396526,-80.0037275
21595,Private,standing,PA,2019-10-16T07:42:54,1571226174000,"240 4th Ave, Pittsburgh, PA 15222",40.43948966666667,-80.0024145
21596,Private,standing,PA,2019-10-16T07:51:04,1571226664591,"960 Penn Ave, Pittsburgh, PA 15222",40.4442388595126,-79.99604147354017
21597,Private,parked,PA,2019-10-16T07:50:10,1571226610000,"4301 Forbes Ave, Pittsburgh, PA 15213",40.443634027777776,-79.95229338888889
21598,Other,Loading,IN,2019-10-16T07:49:21,1571226561000,"313 3rd Ave, Pittsburgh, PA 15222",40.43867319444444,-80.00102188888889
21599,Other,standing,PA,2019-10-16T07:54:02,1571226842323,"960 Penn Ave, Pittsburgh, PA 15222",40.44424289585903,-79.99567723798364
21601,Private,parked,PA,2019-10-16T08:00:15,1571227215000,"4301 Forbes Ave, Pittsburgh, PA 15213",40.44341658333333,-79.95229338888889
21602,Private,parked,PA,2019-10-16T08:02:21,1571227341000,"4301 Forbes Ave, Pittsburgh, PA 15213",40.44346616666666,-79.95197294444445
21603,Private,Loading,PA,2019-10-16T08:02:38,1571227358000,"6 PPG Pl, Pittsburgh, PA 15222",40.4396828,-80.0036042
21604,Private,standing,PA,2019-10-16T08:08:25,1571227705213,"960 Penn Ave, Pittsburgh, PA 15222",40.444287923244495,-79.99561041181953
21610,Private,parked,PA,2019-10-16T08:29:42,1571228982000,"4800 Forbes Ave, Pittsburgh, PA 15213",40.44445416666667,-79.94596861111111
21611,Private,parked,PA,2019-10-16T08:32:10,1571229130082,"230 3rd Ave, Pittsburgh, PA 15222",40.43907504227504,-80.0024356874881
21613,Other,Loading,PA,2019-10-16T08:35:19,1571229319000,"4765 Forbes Ave, Pittsburgh, PA 15213",40.4449204,-79.9446626
21616,Private,standing,PA,2019-10-16T08:38:21,1571229501000,"6 PPG Pl, Pittsburgh, PA 15222",40.4397272,-80.0036983
21622,Other,standing,PA,2019-10-16T08:10:04,1571227804000,"4665 Forbes Ave, Pittsburgh, PA 15213",40.44452113888889,-79.94719261111112
21625,Private,parked,PA,2019-10-16T08:55:04,1571230504000,"4551 Forbes Ave, Pittsburgh, PA 15213",40.44443891666666,-79.94892883333334
21639,Other,Loading,PA,2019-10-16T12:05:57,1571241957244,"305 Wood St, Pittsburgh, PA 15222",40.43883800203691,-80.00170366389214
21634,Private,standing,PA,2019-10-16T07:17:49,1571224669000,"1 PPG Pl, Pittsburgh, PA 15222",40.43975202594625,-80.00399172305902
21635,Private,standing,PA,2019-10-16T08:18:43,1571228323000,"1 PPG Pl, Pittsburgh, PA 15222",40.439793364248644,-80.00400848686745
21636,Other,parked,PA,2019-10-16T07:46:19,1571226379000,"330 3rd Ave, Pittsburgh, PA 15222",40.438511111111104,-80.00080833333334
21642,Private,standing,PA,2019-10-16T12:17:16,1571242636000,"4612 Forbes Ave, Pittsburgh, PA 15213",40.4444827,-79.9479703
21643,Other,parked,PA,2019-10-16T12:20:15,1571242815000,"4 Allegheny Ctr, Pittsburgh, PA 15212",40.4529246,-80.0039856
21644,Ridehail,standing,OH,2019-10-16T12:20:51,1571242851407,"8 Allegheny Ctr, Pittsburgh, PA 15212",40.45336298182649,-80.00594889752567
21646,Other,standing,PA,2019-10-16T12:26:57,1571243217000,"10 Childrens Way, Pittsburgh, PA 15212",40.4527708,-80.0071683
21647,Other,parked,PA,2019-10-16T08:25:34,1571228734000,"4615 Forbes Ave. Pittsburgh, PA",40.44461111111111,-79.94817222222223
21648,Private,Loading,IL,2019-10-16T12:26:27,1571243187000,"36 Foster Sq, Pittsburgh, PA 15212",40.4512045,-80.0072937
