index,latitude,longitude
0,40.454635,-79.97817
1,40.456288,-79.974651
2,40.460347,-79.969436
3,40.468655,-79.962115
4,40.467676,-79.960929
5,40.467585,-79.961076
6,40.408242,-79.867215
7,40.448529,-79.934107
8,40.447751,-79.938742
9,40.45348,-79.915595
10,40.446704,-79.951806
11,40.446296,-79.952021
12,40.449028,-79.932476
13,40.444618,-79.954707
14,40.444299,-79.95484
15,40.43769,-79.973041
16,40.436479,-79.968584
17,40.439525,-79.961689
18,40.451317,-79.925679
19,40.437698,-79.964185
20,40.447078,-79.948856
21,40.446795,-79.949505
22,40.442326,-79.957877
23,40.438399,-79.980575
24,40.440634,-79.959848
25,40.438955,-79.962128
26,40.457435,-79.909041
27,40.451996,-79.923883
28,40.437895,-79.973003
29,40.438709,-79.988102
30,40.441102,-79.959195
31,40.450614,-79.927359
32,40.442077,-79.957855
33,40.455534,-79.910929
34,40.455609,-79.910532
35,40.436766,-79.970267
36,40.447468,-79.942352
37,40.447283,-79.942673
38,40.437902,-79.974559
39,40.438097,-79.97441
40,40.449884,-79.92959
41,40.449721,-79.9297
42,40.447164,-79.947203
43,40.446993,-79.947425
44,40.438585,-79.984902
45,40.437655,-79.965223
46,40.437401,-79.965278
47,40.437055,-79.971135
48,40.438022,-79.976035
49,40.452952,-79.920671
50,40.452814,-79.920807
51,40.438652,-79.986317
52,40.445676,-79.953221
53,40.445488,-79.953131
54,40.443261,-79.956444
55,40.454729,-79.911486
56,40.438844,-79.990723
57,40.447738,-79.93697
58,40.438258,-79.977353
59,40.447534,-79.939104
60,40.441802,-79.958488
61,40.453713,-79.915229
62,40.448788,-79.932562
63,40.436341,-79.968608
64,40.447089,-79.945377
65,40.451087,-79.925842
66,40.437916,-79.963899
67,40.43834,-79.979468
68,40.451835,-79.924005
69,40.450432,-79.927451
70,40.436903,-79.970166
71,40.437175,-79.970989
72,40.438199,-79.975867
73,40.443079,-79.956461
74,40.438504,-79.982631
75,40.447846,-79.93705
76,40.385732,-79.76009
77,40.405727,-79.863519
78,40.386382,-79.752605
79,40.467845,-79.865294
80,40.469171,-79.862215
81,40.471007,-79.861553
82,40.467325,-79.86936
83,40.47345,-79.861848
